Title,Address,Price,Cuisine,Badge Text,Description,Services,Map Iframe URL,Phone,Website,google_name,google_address,maps_url,rating,user_ratings_count,phone,website,price_level,latitude,longitude,distance_meters
Beanmountain,"GF, 1 Canal Road East, Causeway Bay, Hong Kong, Hong Kong SAR China",$,Street Food,Street food,"For over 20 years, sugar fiends have been getting their fix of Chinese-style sweets here – from traditional crowd-pleasers such as put chai ko and Hakka tea cake made with stinkvine to novelty treats like mango sticky rice ball.",Cash only,,+852 9841 8881,,1 Canal Road East,"1 Canal Road East, 1 Canal Rd E, Bowrington, Hong Kong",https://maps.google.com/?cid=8634035501238302174,,,,,,22.278887299999997,114.18152149999999,
Plaisance by Mauro Colagreco,"1F, 1 Duddell Street, Central, Hong Kong",$$$$,French Contemporary,,"Mother of pearl finishes, turquoise accents and a whirlpool of metal fish sculptures introduce the ocean theme. Begin the meal with Chef Mauro's grandma's recipe – house-made bread with his favourite olive oil. The seafood-led menu delivers spellbinding dishes that incorporate the best ingredients from around the world alongside local vegetables, all finessed by solid French skills. Ask the sommelier to pick a wine for you.","Air conditioning
                                

                                    Interesting wine list
                                





                                Credit cards accepted",,+852 3156 2600,https://plaisancehk.com,Plaisance by Mauro Colagreco,"1/F, 1 Duddell St, Central, Hong Kong",https://maps.google.com/?cid=16319482190346767941,4.9,42,+852 3156 2600,https://plaisancehk.com/,,22.2802574,114.1572424,
Sabah,"Shop 1, GF, Pao Woo Mansion, 177-179 Wan Chai Road, Wan Chai, Hong Kong",$$,Malaysian,,"Sabah, a staple of Wan Chai’s restaurant scene for 18 years, shuttered its doors in 2019 before reopening here with the same kitchen team. Both the room and the menu are downsized, but signatures like bak kut teh, beef rendang, and seafood laksa remain, tasting just like before. Boneless Hainan chicken rice boasts bouncy skin and velvety juicy flesh. Even the trio of dips and pearl rice are also hard to find fault with.","Air conditioning
                                





                                Credit cards accepted",,+852 5922 2218,,Sabah Malaysian Cuisine,"Hong Kong, 灣仔灣仔道177號179號1號鋪",https://maps.google.com/?cid=2950681870800880246,4.4,73,+852 5922 2218,,,22.2769875,114.1772891,
The Steak House,"GF, Regent, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$$$$,Steakhouse,,"The iconic Regent Hong Kong has reopened with several new F&B outlets. One of them is The Steak House commanding sweeping harbour views through its tall windows. As its name suggests, the menu revolves around steak – from Italy, Spain, Korea, Japan, Australia, and the U.S. The Moroccan chef ages his own beef - ask the servers. Season your favourite cuts with rock salt, charcoal salt, yuzu salt or the array of sauces and mustards on offer.","Air conditioning
                                

                                    Car park
                                

                                    Great view
                                

                                    Valet parking
                                





                                Credit cards accepted",,+852 2313 2313,https://hongkong.regenthotels.com/dining-destination/the-steak-house/,The Steak House,"Ground Floor, Regent Hong Kong, 18 Salisbury Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=15090189560842875945,4.2,53,+852 2313 2313,https://hongkong.regenthotels.com/dining-destination/the-steak-house/,,22.2936592,114.17372859999999,
Cafe Bau,"Shop 8, Podium 1F, J Residence, 60 Johnston Road, Wan Chai, Hong Kong, Hong Kong SAR China",$$,European,,"Cafe Bau, a new dining concept by the self-proclaimed “Demon Chef” Alvin Leung, is styled like a vintage brasserie dripping in retro glam. Sit at the bar and watch the bartender concoct exquisite beverages. On to the food, order the 3-course menu for traditional European fare, or opt for  the 8-course tasting extravaganza for more innovative, adventurous dishes. Local produce like oysters and fish is used to good effect. Service is off-the-cuff and to-the-point.","Air conditioning
                                

                                    Car park
                                





                                Credit cards accepted",,+852 2126 7212,https://lubuds.com/cafe-bau-wan-chai/,Cafe Bau,"Shop 8, Podium 1/F, J Residence, 60 Johnston Rd, Wan Chai, Hong Kong",https://maps.google.com/?cid=4862227422887232105,4.4,49,+852 9737 0881,,,22.2762404,114.17112960000001,
Yè Shanghai (Tsim Sha Tsui),"702, 7F, K11 Musea, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong",$$,Shanghainese,One Star: High quality cooking,"It may have moved to a swanky mall in 2020, but this household name in Shanghainese food has been on the radar of gastronomes for over two decades. The room is spread across two floors with a modern take on 1930s Shanghai charm. Apart from drunken chicken, and stir-fried river shrimps, try also their cold appetiser sliced pork dressed in garlic sauce – the paper-thin pork is springy in texture, and its richness is balanced by garlic and soy.","Air conditioning
                                

                                    Car park
                                

                                    Restaurant offering vegetarian menus
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2376 3322,http://www.elite-concepts.com,Ye Shanghai (Tsim Sha Tsui),"702, 7/F, Swatch18 Salisbury Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=17381318629239505126,4,511,+852 2376 3322,http://www.elite-concepts.com/yeshanghai,,22.2943715,114.1744016,
Andō,"1F, Somptueux Central, 52-54 Wellington Street, Central, Hong Kong, Hong Kong SAR China",$$$,Innovative,One Star: High quality cooking,"Born in Argentina but having honed his skills in Japan, chef-founder Agustin Balbi opened Andō to realise his culinary vision from his unique vantage point. In a minimalistic dining room boasting tasteful details and an open kitchen, his tasting menu takes diners on a personal journey by fusing his ancestral roots with strong Japanese influences. Don’t miss the signature Sin Lola, the caldoso rice – also a homage to his grandma.","Air conditioning
                                

                                    Interesting wine list
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 9161 8697,https://www.andohk.com,Andō,"1F, Somptueux Central, 52 Wellington St, Central, Hong Kong",https://maps.google.com/?cid=14813235578068653307,4.5,172,+852 9161 8697,https://www.andohk.com/,,22.281855999999998,114.1553265,
Ho Lee Fook,"3-5 Elgin Street, Central, Hong Kong, Hong Kong SAR China",$$,Cantonese,,"Walls covered in gilded maneki-neko, mahjong tiles, pop art and red Chinese floral motifs make this a bold, unorthodox spot for a fun night out. The 80s Canto-pop soundtrack is also a proud expression of its local DNA. The open kitchen on ground level is a spectacle to behold and its creative Cantonese cooking harnesses bold distinctive flavours and wok hei. Try the crispy three-yellow chicken with sand ginger dip, and other wok-fries. Check ahead for dishes that need pre-ordering.","Air conditioning
                                





                                Credit cards accepted",,+852 2810 0860,https://www.holeefook.com.hk,Ho Lee Fook,"蘇豪, 3-5號 Elgin St, Central, Hong Kong",https://maps.google.com/?cid=7225758462603865475,4.4,1040,+852 2810 0860,https://www.holeefook.com.hk/,PRICE_LEVEL_EXPENSIVE,22.283015799999998,114.1524584,
She Wong Hei,"59 Percival Street, Causeway Bay, Hong Kong, Hong Kong SAR China",$$,Cantonese,Small Shop,"The manager that ran the famous snake soup shop She Wong Yee opened this restaurant on the same street. The classic snake soup is reworked with a slightly altered consistency, alongside fish maw, chicken, hand-sliced pork, dried tangerine peel, wood ear fungus and shiitake mushroom. Of course, you can still order barbecue meats, and glutinous rice to go with the soup. Duck liver sausage with snappy casing is certainly worth trying.","Air conditioning
                                





                                Credit cards accepted",,+852 2385 5211,,SHE WONG HEI,"59 Percival St, Causeway Bay, Hong Kong",https://maps.google.com/?cid=18302625515301387191,4,710,+852 2831 0163,,PRICE_LEVEL_MODERATE,22.2793809,114.18279589999999,
Yardbird,"154-158 Wing Lok Street, Sheung Wan, Hong Kong, Hong Kong SAR China",$$,Yakitori,One Star: High quality cooking,"Yardbird is always jam-packed, so book online or expect to queue. The main draw is without doubt the 20-plus types of yakitori skewers made with local ‘three-yellow’ chicken from beak to tail, grilled over binchotan charcoal. Rare cuts like thyroid and ventricle can be hard to find elsewhere, as are the crispy meatballs with tare and egg yolk. Check out the extensive list of Japanese whisky.","Air conditioning
                                

                                    Counter dining
                                

                                    Interesting wine list
                                





                                Credit cards accepted",,+852 2547 9273,http://yardbirdrestaurant.com,154 Wing Lok St,"154 Wing Lok St, Sheung Wan, Hong Kong",https://maps.google.com/?cid=3832070609368735460,,,,,,22.2871459,114.14918109999999,
Takeya,"Shop 1, On Wah Building, 31C1 Tak Man Street, Whampoa Estate, Hung Hom, Hong Kong",$$,Japanese,"Bib Gourmand: good quality, good value cooking","This intimate 15-seater yakitori shop is the brainchild of a Japanese engineer, now the chef, and his wife, now the maître d'. For over a decade, they’ve been feeding hungry diners in the neighbourhood with quality grilled food, with some ingredients flown in from Japan. Rare cuts such as chicken heart and hatsumoto (artery) are definitely worth a try. Pair them with their selection of sake or home-brewed umeshu. Reservations are recommended.","Air conditioning
                                





                                Credit cards accepted",,+852 2365 8878,,TAKEYA,"Shop C1, 31 Tak Man St, Hung Hom, Hong Kong",https://maps.google.com/?cid=9820110163111435430,4.1,81,+852 2365 8878,https://www.weekendhk.com/750074/dining/%E7%B1%B3%E8%8A%9D%E8%93%AE-%E5%B1%85%E9%85%92%E5%B1%8B-%E7%AB%B9%E5%AE%B6-%E7%B4%85%E7%A3%A1/,,22.3060194,114.1883689,
L'Envol,"3F, The St. Regis Hotel, 1 Harbour Drive, Wan Chai, Hong Kong, Hong Kong SAR China",$$$$,French Contemporary,Two Stars: Excellent cooking,"Managed by Chef Olivier Elzer, L’Envol is elegantly furnished in marble and wood. Shrewdly prepared, artfully plated dishes coupled with thoughtful service capture the quintessence of French fine dining. Only set menus are offered and they change from time to time – and usually have a seafood focus, featuring courses like Hokkaido sea urchin box, or ‘la langoustine de Loctudy’. Many wine choices are not found elsewhere and can be ordered by the glass.","Air conditioning
                                

                                    Interesting wine list
                                

                                    Valet parking
                                





                                Credit cards accepted",,+852 2138 6818,https://lenvolhk.stregishongkong.com/,L'Envol,"1 Harbour Dr, Wan Chai, Hong Kong",https://maps.google.com/?cid=14306306017209666065,4.7,201,+852 2138 6818,https://lenvolhk.stregishongkong.com/,,22.2798601,114.1749382,
Yuè (Gold Coast),"LG, Gold Coast Hotel, 1 Castle Peak Road, Gold Coast, Tuen Mun, Hong Kong, Hong Kong SAR China",$$,Cantonese,,"It’s not often one can enjoy Cantonese food surrounded by verdant scenery but here on the ground floor of the Gold Coast hotel that’s exactly what you get as this comfortable restaurant looks out onto a delightful garden. The menu includes both traditional and more contemporary dishes and it’s worth seeking out the chef’s specialities such as barbecued pork and double boiled pork lung soup with almond milk and fish maw, and deep-fried chicken with shrimp paste.","Air conditioning
                                

                                    Garden or park
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2452 8668,https://www.sino-hotels.com/en/hk/gold-coast-hotel,Hong Kong Gold Coast Hotel,"Hong Kong, So Kwun Wat, Castle Peak Road-Castle Peak Bay, 1號, 1 號, Castle Peak 黃金海岸 Gold Coast",https://maps.google.com/?cid=863012304789749593,4.2,6638,+852 2452 8888,http://www.goldcoasthotel.com.hk/,,22.3717971,113.98947729999999,
The Swiss Chalet,"GF, 8 Hart Avenue, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$$,Swiss,,"Despite moving next door, the room still retains the same quaint Alpine chalet ambiance with wood furniture and beams set nicely against whitewashed walls. The classic Swiss menu covers a variety of cured meats and sausages, over 20 cheeses, and of course the unmissable fondue made with five cheeses and kirsch, to be paired with their extensive selection of Swiss wines. Thinly sliced veal with white mushrooms in a cream sauce is also worth trying.","Air conditioning
                                

                                    Counter dining
                                

                                    Restaurant offering vegetarian menus
                                





                                Credit cards accepted",,+852 2191 9197,,The Swiss Chalet,"8 Hart Ave, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=12998642386698140755,4.3,379,+852 2191 9197,https://www.facebook.com/liechtimax/,,22.298233099999997,114.1747824,
Shek Kee Kitchen,"15-17 Ngan Mok Street, Tin Hau, Hong Kong",$$,Cantonese,"Bib Gourmand: good quality, good value cooking","During the day, this cosy joint in the heart of the city serves light meals and fried noodles. At night, the menu specialises in home-style Cantonese dishes. The owner-chef Mr Shek sources the freshest ingredients from wet markets daily and regulars also call him directly to pre-order certain dishes, such as fried chicken with toasted garlic which needs a day’s notice. The pan-fried hand-minced cuttlefish patties are springy and flavourful.","Air conditioning
                                





                                Credit cards accepted",,+852 2571 3348,,Shek Kee Kitchen,"17 Ngan Mok St, Tin Hau, Hong Kong",https://maps.google.com/?cid=6581851345664267961,3.5,378,+852 2571 3348,http://www.seewide.com/%E9%A4%90%E5%BB%B3-%E7%9F%B3%E8%A8%98%E5%BB%9A%E6%88%BF-%E5%A4%A9%E5%90%8E-13284,,22.2837921,114.1922043,
Samsen (Wan Chai),"68 Stone Nullah Lane, Wan Chai, Hong Kong",$$,Thai,"Bib Gourmand: good quality, good value cooking","This casual Thai noodle shop next to the historic Blue House is aptly named after an area in Bangkok where the Chinese traded with the Thais. Rattan blinds, bare concrete walls and distressed wood furniture give off a street-stall vibe. The signature boat noodles are not to be missed – the flavoursome broth alone takes 6 hours to make. Those with a sweet tooth can round things off with young coconut ice cream. Come early to beat the crowd.","Air conditioning
                                

                                    Counter dining
                                





                                Credit cards accepted",,+852 2234 0001,https://www.samsen-hk.com,Samsen (Wan Chai),"68 Stone Nullah Ln, Wan Chai, Hong Kong",https://maps.google.com/?cid=6878168911082627842,4.3,1267,+852 2234 0001,http://www.samsen-hk.com/,PRICE_LEVEL_MODERATE,22.274124999999998,114.1741694,
Shang Palace,"Lower Level 1, Kowloon Shangri-La Hotel, 64 Mody Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$$$,Cantonese,One Star: High quality cooking,"This elegant restaurant has been a reliable favourite for classic Cantonese food for over 35 years. Chandeliers and Sung-style paintings create an impressive backdrop for sophisticated cooking that has changed little over time. Signatures include sautéed sliced pigeon fillets with bamboo shoot, black fungus and asparagus, boasting tender meat and contrasting textures. To sample all the house specialities, opt for the chef's signature tasting menu.","Air conditioning
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2733 8754,https://www.shangri-la.com/hongkong/kowloonshangrila/dining/restaurants/shang-palace/,Shang Palace,"Lower, Level I, 64 Mody Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=14667314061854559383,4.3,496,+852 2733 8754,http://www.shangri-la.com/hongkong/kowloonshangrila/dining/restaurants/shang-palace/,PRICE_LEVEL_VERY_EXPENSIVE,22.296986999999998,114.1770057,
Ki Tsui,"135 Fa Yuen Street, Mong Kok, Hong Kong, Hong Kong SAR China",$,Street Food,Street food,"Despite the small size, this shop offers a wide array of Cantonese traditional puddings and pastries like Xiaofeng cake and walnut cookies.",Cash only,,+852 2394 1727,,Kee Tsui Cake Shop,"135號 Fa Yuen St, Mong Kok, Hong Kong",https://maps.google.com/?cid=15604310804655904786,3.9,619,+852 2394 1727,,PRICE_LEVEL_INEXPENSIVE,22.321678199999997,114.1705483,
Spring Moon,"1F, The Peninsula Hotel, Salisbury Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$$$,Cantonese,One Star: High quality cooking,"The room, spread over two levels, evokes old-Shanghai circa 1920s – stained glass windows, teak floors and rugs all speak of the golden era. On the menu, however, classics are showcased side by side with novel creations such as scrambled egg white with lobster and crabmeat, and dishes garnished with edible flowers that taste of spring. Dim sum at lunch is also recommended, to be enjoyed with your choice of tea from 30 varieties.","Air conditioning
                                

                                    Car park
                                

                                    Interesting wine list
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2696 6760,https://www.peninsula.com/en/hong-kong/hotel-fine-dining/spring-moon-cantonese,Spring Moon,"1/F, The Peninsula Hong Kong, Salisbury Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=11516205368040196448,4.3,622,+852 2696 6760,https://www.peninsula.com/zh/hong-kong/hotel-fine-dining/spring-moon-cantonese,,22.2952613,114.17148239999999,
Kung Wo Beancurd Factory,"118 Pei Ho Street, Sham Shui Po, Hong Kong, Hong Kong SAR China",$,Street Food,"Bib Gourmand: good quality, good value cooking","This much-loved shop makes its own tofu that boasts a deep, rich soy aroma. As well as the renowned tofu pudding, it also carries other soy products like soy milk, fried stuffed tofu, tofu puffs and golden fish tofu.","Air conditioning
                                

                                    Cash only",,+852 2386 6871,,Kung Wo Beancurd Factory,"Hong Kong, Sham Shui Po, Pei Ho St, 118號號地下",https://maps.google.com/?cid=17593128379089612879,4,2384,,https://www.facebook.com/kungwosoya,PRICE_LEVEL_INEXPENSIVE,22.3310951,114.1635907,
Joyful Dessert House,"Shop 2-3, GF, Ngai Hing Mansion, 74 Hak Po Street, Mong Kok, Hong Kong",$,Street Food,Street food,"Come for beautifully plated Western desserts, such as waffles, chocolate fondant and velvety shaved ice. Recommendations include mango Napoleon, caramelised pineapple sorbet, and green tea fondant à la mode.","Air conditioning
                                

                                    Cash only",,+852 2856 1886,,Joyful Dessert House,"Shop 2-3, G/F, Ngai Hing Mansion, 74 Hak Po St, Mong Kok, Hong Kong",https://maps.google.com/?cid=6439808668735862001,4.2,544,+852 2856 1886,https://www.facebook.com/Joyfuldesserthouse?ref=bookmarks,,22.3177575,114.1727851,
Carbone,"9F, LKF Tower, 33 Wyndham Street, Central, Hong Kong, Hong Kong SAR China",$$$,Italian American,,"A nod to Manhattan’s American-Italian diners circa 1950s, this colourful spot celebrates the era in everything from the floor tiles and chandeliers, to the cutlery and servers’ uniforms. In the same way, the menu embraces classics like pastas and steaks, such as the signature Tasmanian lamb tomahawk. Portion sizes are more American than Italian, enough for a few to share. House-made limoncello makes great apéritifs and digestifs.","Air conditioning
                                

                                    Interesting wine list
                                

                                    Restaurant offering vegetarian menus
                                





                                Credit cards accepted",,+852 2593 2593,https://www.carbone.com.hk,Carbone Hong Kong,"Hong Kong, 香港島 Wyndham St, 33號9th Floor",https://maps.google.com/?cid=12871916306206821035,4.4,740,+852 2593 2593,http://www.carbone.com.hk/,PRICE_LEVEL_VERY_EXPENSIVE,22.2804373,114.1551291,
Ah Chun Shandong Dumpling,"60 Lai Chi Kok Road, Prince Edward, Hong Kong",$,Dumplings,"Bib Gourmand: good quality, good value cooking","The shop has a traditional feel to it. Green wooden window frames on the wall are reminiscent of old-time Hong Kong. Dumplings are handmade daily and only the freshest ingredients are used in the fillings. Try their most-ordered item lamb and Peking scallion dumplings. Or surprise yourself with the specialty, such as mackerel dumplings and cuttlefish dumplings. Shandong roast lamb and meat pie are also recommended.","Air conditioning
                                

                                    Cash only",,+852 2789 9611,,Ah Chun Shandong Dumpling,"太子 號地舖, 60 Lai Chi Kok Rd, Lai Chi Kok, Hong Kong",https://maps.google.com/?cid=1125014313106092822,3.8,524,+852 2789 9611,https://www.afoodieworld.com/davidtanzergreenberg/9691-ah-chun-shandong-dumpling,PRICE_LEVEL_INEXPENSIVE,22.3240792,114.1666164,
Fishball Man (To Kwa Wan),"GF, 50 Tin Kwong Road, To Kwa Wan, Hong Kong",$,Street Food,Street food,"Though local snacks like shaomai and cheong fun are offered, its eponymous speciality remains the most popular. Besides the spicy variety, the springy and flavourful white fish balls drizzled in chilli oil are unmissable.",Cash only,,+852 9727 3347,,Fish Ball Man,"50 Tin Kwong Rd, To Kwa Wan, Hong Kong",https://maps.google.com/?cid=15123869326165275219,4.3,26,+852 9727 3347,,,22.3199452,114.1872801,
Cornerstone,"49 Hollywood Road, Central, Hong Kong",$$,European Contemporary,,"Owner-chef Shane Osborn of Arcane fame calls it an ‘Australian café’ – in fact, it feels more like a hip bistro with its faux-industrial décor. The small menu is a tapestry of global culinary cultures, including Aussie, European and Asian favourites. Though it changes a few times each month to keep things fresh, dishes are always competitively priced and loaded with big flavours and pleasing textures. Online reservations only.","Air conditioning
                                

                                    Brunch
                                

                                    Counter dining
                                

                                    Terrace
                                





                                Credit cards accepted",,+852 6809 9771,https://cornerstonehk.net,Cornerstone,"49 Hollywood Rd, Central, Hong Kong",https://maps.google.com/?cid=11404861182540801027,4.5,138,+852 6809 9771,https://cornerstonehk.net/,,22.28274,114.15311000000001,
Hung Hom Pancake,"Shop 2, Polly Court, Taku Street, Hung Hom, Hong Kong, Hong Kong SAR China",$,Street Food,Street food,"For over 40 years, this neighbourhood shop has provided the childhood memories of many. Pancakes, waffles and egg waffles are all made to order. Tricolour egg waffles in plain, chocolate and matcha flavours particularly stand out.",Cash only,,,,Hung Hom Pancake,"53號 Bulkeley St, Hung Hom, Hong Kong",https://maps.google.com/?cid=3684162387245433467,4,327,,,PRICE_LEVEL_INEXPENSIVE,22.3065617,114.1863838,
She Wong Leung,"Shop A, GF, 298 Electric Road, North Point, Hong Kong, Hong Kong SAR China",$$,Cantonese,"Bib Gourmand: good quality, good value cooking","In business for over 20 years, this shop is famous for its snake soup. While most people consume snake soup only in winter, the owner formulates a different herbal base for every season to make it a healthy tonic all year round. Set menus comprising of snake soup and home-style dishes offer exceptional value and cater for all tastes. Go for glutinous rice or lamb stew in winter. Double-boiled soups are popular but require pre-ordering.","Air conditioning
                                

                                    Credit cards not accepted",,+852 2578 8135,,SHE WONG LEUNG,"Hong Kong, North Point, Electric Rd, 298號號地下A舖",https://maps.google.com/?cid=8475475798200364405,3.9,305,+852 2578 8135,,PRICE_LEVEL_MODERATE,22.2901626,114.1945847,
Shugetsu Ramen (Central),"5 Gough Street, Central, Hong Kong, Hong Kong SAR China",$$,Ramen,"Bib Gourmand: good quality, good value cooking","The queues form early for the ramen here, with many of the customers coming for the Tsukemen ramen, as well as the Abura and special soup ramen. The shop makes its own noodles – which you can have thick or thin – but it is the sauce at the base of the slow-cooked soup that really makes the difference: it’s fermented for 18 months in a 100-year-old wooden basket and adds richness and depth.","Air conditioning
                                

                                    Counter dining
                                





                                Credit cards accepted",,+852 2850 6009,http://www.shugetsu.com.hk,Shugetsu (Central),"5 Gough St, Central, Hong Kong",https://maps.google.com/?cid=17020316557675358091,4.2,900,+852 2850 6009,http://www.shugetsu.com.hk/,PRICE_LEVEL_MODERATE,22.2841317,114.15288679999999,
Fisholic (North Point),"Shop 14, GF, Victor Court, 14-28 Wang On Road, North Point, Hong Kong, Hong Kong SAR China",$,Street Food,"Bib Gourmand: good quality, good value cooking","Famous for snacks and noodles made with fish, this stall sells playful items like deep-fried minced fish in the guise of French fries, or fish skin nachos. Fishotto, where minced fish is shaped like rice grains, is also good.","Air conditioning
                                





                                Credit cards accepted",,+852 3590 4930,,Fisholic (North Point),"Hong Kong, 北角宏安道14-18號威德閣14號舖",https://maps.google.com/?cid=9123280324399503471,4.1,184,+852 3590 4930,https://www.fisholic.hk/,,22.2883195,114.191947,
I M Teppanyaki & Wine,"1F, Golden Wheel Plaza, 68 Electric Road, Tin Hau, Hong Kong, Hong Kong SAR China",$$$$,Teppanyaki,One Star: High quality cooking,"The founder and head chef Mok moved his restaurant to this location in 2021. As always, top notch ingredients like sea urchin, abalone and blue lobsters are flown in daily from Japan and France. But the theatrical cooking now happens in a much bigger room, along with a private room that seats eight. The wine list also sees a lot more choices. Amadai with sea urchin cream sauce stands out in particular, with its crispy scales and juicy flesh.","Air conditioning
                                

                                    Counter dining
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2570 7088,http://www.imteppanyaki.com,I M Teppanyaki & Wine,"1/F, SL Ginza, 2C-2D Lau Li Street, 68 Electric Rd, Tin Hau, Hong Kong",https://maps.google.com/?cid=399858103077618221,4.4,155,+852 2570 7088,http://www.imteppanyaki.com/,,22.284046099999998,114.1917838,
Giando,"Shop 1, GF, Tower 1, Starcrest, 9 Star Street, Wan Chai, Hong Kong, Hong Kong SAR China",$$,Italian,,"Italian chef Gianni Caprioli owns several restaurants in Hong Kong but this one, tucked away in a quiet corner between Wan Chai and Admiralty, is his jewel. Besides the booths along one side of the smart dining room, outdoor seating is also prized for an al-fresco Italian feast or just a glass of Italian wine pre- or post-dinner. Expect to see dishes from all over Italy, such as hand-rolled strozzapreti pasta, or Milanese-style veal chop.","Air conditioning
                                

                                    Brunch
                                

                                    Car park
                                

                                    Interesting wine list
                                

                                    Restaurant offering vegetarian menus
                                

                                    Terrace
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2511 8912,http://www.giandorestaurant.com,Giando Italian Restaurant & Bar,"Shop 1, G/F, Tower, Starcrest Block 1, 9 Star St, Wan Chai, Hong Kong",https://maps.google.com/?cid=14879340972824470770,4.1,441,+852 2511 8912,https://www.giandorestaurant.com/,PRICE_LEVEL_EXPENSIVE,22.276476499999998,114.167349,
Fu Ho,"Shop 402, 4F, FoodLoft, Mira Place One, 132 Nathan Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$$$,Cantonese,One Star: High quality cooking,"Thanks to his considerable experience, the head chef has been enticing diners back here for over a decade with his skillfully executed dishes, such as pan-fried chicken with ginger and scallion, fried Chinese kale with dried plaice, and stir-fried rice in Fu Ho style. Named after the owner, the signature Ah Yung abalone is slow-braised in a secret sauce for up to 20 hours. The dining room now has a contemporary, elegant and relaxing feel.","Air conditioning
                                

                                    Car park
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2736 2228,https://www.fuho.com.hk,Fu Ho Restaurant,"132 Nathan Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=10181237323321444615,4.1,165,+852 2736 2228,http://www.fuho.com.hk/,,22.300559999999997,114.172158,
Tosca di Angelo,"102F, The Ritz-Carlton, International Commerce Centre, 1 Austin Road West, Tsim Sha Tsui, Hong Kong",$$$,Italian,One Star: High quality cooking,"The Sicilian chef champions dishes that may look deceptively unfussy on the plate, but their obvious refinement makes them especially delicious. His signatures include house-made pasta and blue lobster dishes, while his modern take on rum babà is quite something. The set menu comprises seasonal and signature dishes, making it the best way to sample all specialities. Did I mention its sweeping views from the 102nd floor?","Air conditioning
                                

                                    Brunch
                                

                                    Car park
                                

                                    Great view
                                

                                    Interesting wine list
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2263 2270,https://www.toscadiangelo.com/,Tosca Di Angelo,"102/F, International Commerce Centre (ICC), 1 Austin Rd W, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=15896822933388704358,4.4,443,+852 2263 2270,https://www.ritzcarlton.com/en/hotels/hkgkw-the-ritz-carlton-hong-kong/dining/,PRICE_LEVEL_VERY_EXPENSIVE,22.303403199999998,114.16019070000002,
Owl's,"GF, 32 Mody Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$,Street Food,Street food,"You’ll need to wait as the homemade choux pastries are filled on order with cream and custard of different flavours but, rest assured, the wait is worth it. Check out the occasional limited time offers. Take-out only.",Cash only,,+852 6199 5176,http://www.owlschoux.com,32 Mody Rd,"32 Mody Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=1423118838885493562,,,,,,22.2970603,114.17483759999999,
Hop Yik Tai,"121 Kweilin Street, Sham Shui Po, Hong Kong",$,Street Food,Street food,"The menu at this always busy shop features Hong Kong-style snacks like fish balls, pork skin and braised radish. The hugely popular rice rolls are silky-smooth, with a hint of richness from the lard.",Cash only,,+852 2720 0239,,Hop Yik Tai,"Hong Kong, Sham Shui Po, Kweilin St, 121號號",https://maps.google.com/?cid=282017044639781733,3.9,2874,+852 2720 0239,,PRICE_LEVEL_INEXPENSIVE,22.330472099999998,114.1612409,
Wing Lai Yuen,"Shop 102-105, 1F, Gourmet Place, Whampoa Plaza, Site 8, Whampoa Garden, 7 Tak On Street, Hung Hom, Hong Kong",$$,Shanghainese,"Bib Gourmand: good quality, good value cooking","Originally a run-down shop in a squatter village, it moved to this airy and bright location in 2000. But one thing never changed – the food is as delicious and affordably priced as ever. The signature Dan Dan noodles come in two versions: a meat one with ground pork and a traditional one without, plus a spicy or mild broth to choose from. Shuizhu mandarin fish packs numbing heat and the portion size is big enough for a few to share.","Air conditioning
                                

                                    Car park
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2320 6430,,"Gourmet Place, The Whampoa","7 Tak On St, Whampoa Garden, Hong Kong",https://maps.google.com/?cid=6898264391774879277,3.7,917,+852 2128 7465,http://www.thewhampoa.com/,PRICE_LEVEL_MODERATE,22.305025099999998,114.1908588,
